Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_DIFFUSION3DPA,Base_HIP,block_64,405, PASSED     ,3.529e-06,14.7766,22.0983,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64,83.6826,55.8142
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,405, PASSED     ,3.0924e-06,16.8628,25.2183,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64,94.1436,62.7914
Apps_DIFFUSION3DPA,Base_HIP,block_64,394524, PASSED     ,0.000150176,337.096,505.858,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64,563.6055,375.58000000000004
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,394524, PASSED     ,0.000143798,352.048,528.296,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64,585.2455,390.0005
Apps_DIFFUSION3DPA,Base_HIP,block_64,49329, PASSED     ,1.69728e-05,372.94,559.634,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64,559.634,372.94
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,49329, PASSED     ,1.59374e-05,397.169,595.991,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64,595.991,397.169
Apps_DIFFUSION3DPA,Base_HIP,block_64,577935, PASSED     ,0.000229589,323.005,484.713,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64,505.858,337.096
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,577935, PASSED     ,0.00022172,334.469,501.916,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64,528.296,352.048
Apps_DIFFUSION3DPA,Base_HIP,block_64,6183, PASSED     ,4.7384e-06,167.473,251.26,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64,251.26,167.473
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,6183, PASSED     ,4.36e-06,182.008,273.067,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64,273.067,182.008
